	status	tissue
BC_Breast_TD16	cancer	breast
BC_Breast_TD27	cancer	breast
BC_Lung_TD5	cancer	lung
BC_Breast_ND4	healthy	breast
BC_Stomach_TD5	cancer	stomach
BC_Lung_ND5	healthy	lung
BC_CRC_TD18	cancer	colon
BC_CRC_TD16	cancer	colon
BC_Breast_TD28	cancer	breast
BC_Lung_TD22	cancer	lung
BC_CRC_TD31	cancer	colon
BC_Breast_TD35	cancer	breast
BC_Stomach_TD38	cancer	stomach
BC_Stomach_TD35	cancer	stomach
BC_Lung_ND3	healthy	lung
BC_Lung_TD33	cancer	lung
BC_Breast_TD7	cancer	breast
BC_Breast_TD1	cancer	breast
BC_Breast_TD34	cancer	breast
BC_Breast_TD21	cancer	breast
BC_Stomach_TD22	cancer	stomach
BC_CRC_TD14	cancer	colon
BC_Breast_ND2	healthy	breast
BC_Stomach_ND2	healthy	stomach
BC_CRC_TD33	cancer	colon
BC_Breast_TD29	cancer	breast
BC_Breast_TD23	cancer	breast
BC_Stomach_TD23	cancer	stomach
BC_Lung_ND2	healthy	lung
BC_Stomach_ND3	healthy	stomach
BC_CRC_ND1	healthy	colon
BC_Breast_TD37	cancer	breast
BC_CRC_TD20	cancer	colon
BC_Stomach_TD30	cancer	stomach
BC_Stomach_TD11	cancer	stomach
BC_Lung_TD32	cancer	lung
BC_CRC_TD30	cancer	colon
BC_Stomach_TD8	cancer	stomach
BC_CRC_ND8	healthy	colon
BC_Lung_TD2	cancer	lung
BC_Stomach_TD33	cancer	stomach
BC_CRC_TD7	cancer	colon
BC_Lung_TD13	cancer	lung
BC_CRC_TD35	cancer	colon
BC_Stomach_ND4	healthy	stomach
BC_CRC_TD17	cancer	colon
BC_Breast_TD2	cancer	breast
BC_Lung_TD38	cancer	lung
BC_Lung_TD18	cancer	lung
BC_Lung_TD12	cancer	lung
BC_CRC_TD9	cancer	colon
BC_Stomach_TD3	cancer	stomach
BC_Lung_TD26	cancer	lung
BC_Stomach_TD20	cancer	stomach
BC_Lung_TD31	cancer	lung
BC_CRC_TD27	cancer	colon
BC_Stomach_ND8	healthy	stomach
BC_Breast_TD33	cancer	breast
BC_Stomach_TD24	cancer	stomach
BC_Stomach_TD29	cancer	stomach
BC_CRC_TD19	cancer	colon
BC_Stomach_TD15	cancer	stomach
BC_Lung_TD23	cancer	lung
BC_Stomach_TD7	cancer	stomach
BC_Breast_TD6	cancer	breast
BC_CRC_TD36	cancer	colon
BC_Stomach_TD28	cancer	stomach
BC_Stomach_TD9	cancer	stomach
BC_Lung_TD16	cancer	lung
BC_Lung_TD39	cancer	lung
BC_Lung_ND8	healthy	lung
